"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.095714167E0,-3.985312500E0,-3.351216110E1,-1.220711517E1,3.588817797E1
1.105755167E0,-4.865182800E0,-2.535053329E1,-5.533093872E0,2.639952026E1
1.115796167E0,-5.464985504E0,-1.974064911E1,-3.682791595E0,2.081158927E1
1.125837167E0,-5.641917572E0,-1.630155075E1,-2.553539886E0,1.743824408E1
1.135878167E0,-5.307962036E0,-1.555714874E1,-1.490749969E0,1.650520141E1
1.145919167E0,-4.977748718E0,-1.811532898E1,-9.434880066E-1,1.881045709E1
1.155960167E0,-5.501509552E0,-2.237367371E1,-6.171665955E-1,2.304840075E1
1.166001167E0,-5.734874268E0,-2.478321304E1,-4.053570557E-1,2.544131966E1
1.176042167E0,-5.436844025E0,-2.489667709E1,-2.008822632E-1,2.548419426E1
1.186083167E0,-5.070406036E0,-2.373449387E1,2.315684509E-1,2.427115243E1
1.196124167E0,-4.516258392E0,-2.175515991E1,7.451504517E-1,2.223148267E1
1.206165167E0,-3.710633698E0,-1.913381104E1,1.232536926E0,1.952922616E1
1.216206167E0,-2.841391296E0,-1.657293640E1,1.188977509E0,1.685673138E1
1.226247167E0,-2.109114075E0,-1.435679489E1,5.312452698E-1,1.452061098E1
1.236288167E0,-1.492845612E0,-1.214304840E1,-3.399430847E-1,1.223919008E1
1.246329167E0,-1.027014313E0,-9.807155914E0,-1.276994476E0,9.943127296E0
1.256370167E0,-7.473957825E-1,-7.325765991E0,-2.078278198E0,7.651450064E0
1.266411167E0,-6.587800598E-1,-4.926255798E0,-2.441123657E0,5.537244086E0
1.276452167E0,-7.096742249E-1,-2.835703125E0,-2.250270538E0,3.688979156E0
1.286493167E0,-8.737330627E-1,-1.038540344E0,-1.874551849E0,2.314286099E0
1.296534167E0,-1.044078827E0,4.734654236E-1,-1.456321564E0,1.853413770E0
1.306575167E0,-1.048868866E0,1.681603088E0,-1.334924011E0,2.389547438E0
1.316616167E0,-8.550219727E-1,2.643053741E0,-1.850751343E0,3.337974863E0
1.326657167E0,-9.812095642E-1,3.319197693E0,-2.401755524E0,4.212870177E0
1.336698167E0,-1.385219421E0,3.336411896E0,-2.291734314E0,4.278144849E0
1.346739167E0,-1.833686829E0,3.033741302E0,-1.720821533E0,3.940459418E0
1.356780167E0,-2.385140076E0,2.996319122E0,-8.870553589E-1,3.931117993E0
1.366821167E0,-3.039279785E0,3.434308319E0,1.445993042E-1,4.588311694E0
1.376862167E0,-3.387006683E0,3.711831207E0,7.949967957E-1,5.087388828E0
1.386903167E0,-2.957998810E0,3.363206177E0,1.036145325E0,4.597228500E0
1.396945167E0,-2.511926422E0,2.895428925E0,7.629634094E-1,3.908375132E0
1.406985167E0,-2.192490692E0,2.394869843E0,4.469705200E-1,3.277529503E0
1.417027167E0,-1.900897064E0,1.787582703E0,2.484832764E-1,2.621183989E0
1.427068167E0,-1.589843903E0,1.322350159E0,2.492317200E-1,2.082865821E0
1.437109167E0,-1.330133972E0,1.106798401E0,3.201841736E-1,1.759766175E0
1.447150167E0,-1.138083344E0,8.783734131E-1,4.647834778E-1,1.510892859E0
1.457191167E0,-9.298663330E-1,6.863227844E-1,6.556365967E-1,1.328739895E0
1.467232167E0,-4.260140991E-1,4.902305603E-1,7.511380005E-1,9.929865612E-1
1.477273167E0,3.709286499E-1,2.224374390E-1,5.077441406E-1,6.669861992E-1
1.487314167E0,7.078779602E-1,1.038839722E-1,3.270698547E-1,7.866751401E-1
1.497355167E0,9.247769165E-1,1.184037781E-1,-6.840774536E-2,9.348322949E-1
1.507396167E0,1.076411591E0,-8.173004150E-2,-6.661148071E-1,1.268483602E0
1.517437167E0,1.059197388E0,-5.872288513E-1,-1.293011169E0,1.771613591E0
1.527478167E0,7.268884277E-1,-1.159189453E0,-1.947300568E0,2.379929931E0
1.537519167E0,-2.477348328E-1,-1.482068024E0,-2.520159302E0,2.934126971E0
1.547560167E0,-1.222807159E0,-1.844763794E0,-2.455793152E0,3.305953843E0
1.557601167E0,-1.416055298E0,-1.980232086E0,-1.802701263E0,3.029234815E0
1.567642167E0,-1.349593506E0,-2.029479675E0,-1.709445190E0,2.976977199E0
1.577683167E0,-1.985770569E0,-2.771636353E0,-1.792672119E0,3.852132675E0
1.587724167E0,-3.282823334E0,-4.169130249E0,-1.481618958E0,5.509425633E0
1.597765167E0,-5.417085114E0,-7.733667755E0,-1.449585571E0,9.552786316E0
1.607806167E0,-6.796766052E0,-1.622446106E1,-1.726060638E0,1.767507994E1
1.617847125E0,-9.310039673E0,-3.136697205E1,-1.603764954E0,3.275875205E1
1.627888125E0,-1.201611237E1,-4.976356613E1,-5.681285706E0,5.150802343E1
