"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.425157917E-1,6.326935112E-1,-5.247995916E-1,-1.850495235E0,2.024857601E0
9.525227917E-1,-8.998758177E-1,-9.918649453E-1,-2.668893172E0,2.986061507E0
9.625297917E-1,-1.125071388E0,-9.289018348E-1,-2.836428180E0,3.189665980E0
9.725357917E-1,-1.258113817E0,-2.844416061E-1,-2.737140119E0,3.025837642E0
9.825427917E-1,-7.568058528E-1,3.903519309E-1,-2.002296554E0,2.175849540E0
9.925497917E-1,5.841868191E-2,9.672665861E-1,-1.023495458E0,1.409453917E0
1.002556792E0,5.156855366E-1,9.896655151E-1,-6.491046721E-1,1.291009791E0
1.012562792E0,7.343538603E-1,6.676672429E-1,-6.626801527E-1,1.193398560E0
1.022569792E0,9.057643294E-1,5.710367417E-1,-9.725287879E-1,1.446479942E0
1.032576792E0,6.664772614E-1,7.468192470E-1,-1.631819894E0,1.914358142E0
1.042583792E0,1.199349629E-1,8.865238470E-1,-2.114195305E0,2.295676527E0
1.052589792E0,-2.363114382E-1,8.521252620E-1,-2.292020828E0,2.456688835E0
1.062596792E0,-3.894013929E-1,8.794653806E-1,-2.029015406E0,2.245439004E0
1.072603792E0,-3.748820620E-1,1.101812480E0,-5.057595956E-1,1.268983873E0
1.082609792E0,-1.815554796E-1,9.073682937E-1,-5.631506020E-1,1.083244300E0
1.092616792E0,-3.769018731E-1,7.869595054E-1,-9.289430577E-1,1.274478517E0
1.102623792E0,-5.595358533E-1,1.030889847E0,-1.248279970E0,1.712897291E0
1.112630792E0,-5.229484728E-1,1.422527873E0,-1.392668774E0,2.058297104E0
1.122636792E0,-2.760914350E-1,1.785878824E0,-1.236284407E0,2.189517935E0
1.132643792E0,-1.360218408E-1,1.983911154E0,-9.745811605E-1,2.214545969E0
1.142650792E0,-1.738371732E-1,1.886838311E0,-2.249470639E-1,1.908135047E0
1.152656792E0,-5.773138739E-2,1.570089962E0,7.303798002E-1,1.732619420E0
1.162663792E0,-3.716303889E-2,1.428683529E0,1.380117726E0,1.986766885E0
1.172670792E0,2.162446529E-3,1.359074474E0,1.700507137E0,2.176881398E0
1.182677792E0,8.874085307E-2,1.069241442E0,2.522242080E0,2.740959195E0
1.192683792E0,1.873558627E-1,8.717520261E-1,3.358410875E0,3.474762930E0
1.202690792E0,3.729278860E-1,7.756170765E-1,4.376126946E0,4.459948890E0
1.212697792E0,5.343393239E-1,5.050392187E-1,4.824408996E0,4.880113245E0
1.222703792E0,2.006032779E-1,4.616432306E-1,4.311147423E0,4.340431804E0
1.232710792E0,-3.488588095E-1,7.461155346E-1,3.077845681E0,3.186145774E0
1.242718167E0,-8.826531364E-1,1.206655688E0,1.483716938E0,2.106302557E0
1.252725167E0,-1.238436913E0,1.808031293E0,1.260267931E-1,2.195127763E0
1.262731167E0,-1.508750184E0,2.294043964E0,-7.426811725E-1,2.844387483E0
1.272738167E0,-1.466099570E0,2.553942175E0,-6.596852088E-1,3.017822585E0
1.282745167E0,-1.251765641E0,2.802496787E0,3.469188130E-1,3.088892702E0
1.292752167E0,-1.273721497E0,2.556251240E0,1.884735360E0,3.421843689E0
1.302758167E0,-1.053957990E0,1.935362307E0,3.543051327E0,4.172489355E0
1.312765167E0,-5.776440589E-1,7.077159923E-1,4.793319350E0,4.879594756E0
1.322772167E0,-1.029505738E-1,-7.234409094E-1,5.410932673E0,5.460051095E0
1.332778167E0,6.774657876E-1,-1.068456161E0,5.944938414E0,6.078063113E0
1.342785167E0,9.553422131E-1,-1.143616856E0,5.868348075E0,6.054588952E0
1.352792167E0,9.244398245E-1,-1.417006640E0,4.708783815E0,5.003512948E0
1.362799167E0,9.080180655E-1,-1.561773174E0,3.006425450E0,3.507452956E0
1.372805167E0,6.677420872E-1,-1.614120373E0,1.130132884E0,2.080496193E0
1.382812167E0,5.255816932E-1,-1.726708510E0,-7.065079576E-1,1.938275493E0
1.392819167E0,5.038172968E-1,-1.875934131E0,-2.114136248E0,2.870981158E0
1.402825167E0,4.109847815E-1,-2.287343055E0,-2.606982268E0,3.492449468E0
1.412832167E0,7.295652831E-1,-2.188716899E0,-2.317045741E0,3.269777994E0
1.422839167E0,1.088683508E0,-1.920274152E0,-2.389317327E0,3.252925128E0
1.432846167E0,1.274633663E0,-1.771225702E0,-2.222373472E0,3.114622820E0
1.442852167E0,1.133035223E0,-1.813788754E0,-1.792219545E0,2.790277649E0
1.452859167E0,2.531858265E-1,-2.154272706E0,-1.450811732E0,2.609568669E0
1.462866167E0,-4.460698295E-1,-2.178112974E0,-1.340834962E0,2.596342199E0
1.472872167E0,-7.086351746E-1,-2.097390992E0,-1.535375335E0,2.694177092E0
1.482879167E0,-6.811211745E-1,-1.919404671E0,-1.611770961E0,2.597276646E0
1.492886167E0,-2.451565030E-1,-1.619575825E0,-1.654670813E0,2.328317646E0
1.502893167E0,1.836962731E-1,-1.491756275E0,-2.118386005E0,2.597429570E0
1.512899167E0,1.759644999E-1,-1.437231574E0,-2.805603998E0,3.157215845E0
1.522906167E0,-2.473752290E-2,-1.478778380E0,-3.450713852E0,3.754307330E0
1.532913167E0,-3.589676587E-1,-1.470260741E0,-3.943684418E0,4.224117803E0
1.542919167E0,-6.253679732E-1,-1.425547668E0,-4.060948573E0,4.349088936E0
1.552926167E0,-9.332489473E-1,-1.295767547E0,-3.840688053E0,4.159429270E0
1.562933167E0,-1.268820507E0,-1.124817765E0,-3.447817726E0,3.842208682E0
1.572940167E0,-1.515497871E0,-9.743174511E-1,-3.003636328E0,3.502550426E0
1.582946167E0,-1.376568758E0,-6.908666557E-1,-2.749834424E0,3.151797526E0
1.592953167E0,-9.736157852E-1,-4.730491018E-1,-2.885556486E0,3.081905155E0
1.602960167E0,-9.242530060E-1,-3.218395203E-1,-2.914628842E0,3.074554534E0
1.612966167E0,-8.123675577E-1,4.320566118E-2,-2.736767651E0,2.855119079E0
1.622973167E0,-4.239007692E-1,3.770003986E-1,-2.720413574E0,2.778933460E0
1.632980167E0,-1.995514369E-1,5.405253857E-1,-2.749826823E0,2.809543740E0
1.642987167E0,-2.690264453E-1,7.174901980E-1,-2.420669512E0,2.539056577E0
1.652993167E0,-4.034184113E-1,8.489285892E-1,-1.275456659E0,1.584366073E0
1.663000167E0,-7.593958770E-1,8.120870376E-1,1.591062462E-1,1.123157270E0
1.673007167E0,-8.478256582E-1,2.878245127E-1,1.222208405E0,1.515072500E0
1.683013167E0,-7.746940935E-1,-2.508823889E-1,1.784345684E0,1.961372589E0
1.693020167E0,-7.272630881E-1,-4.356158119E-1,1.782696185E0,1.974000613E0
1.703027167E0,-6.746134427E-1,-1.960530478E-1,1.456929089E0,1.617461736E0
1.713034167E0,-5.822280201E-1,3.936099994E-1,9.884232742E-1,1.212806196E0
1.723040167E0,-5.396331006E-1,1.010292445E0,5.101508546E-1,1.253853501E0
1.733047167E0,-7.040946655E-1,1.379479795E0,4.512302166E-1,1.613171569E0
1.743054167E0,-8.824715804E-1,1.423864839E0,7.631739092E-1,1.840810035E0
1.753060167E0,-9.049374600E-1,1.297889501E0,1.347603114E0,2.078331811E0
1.763067167E0,-7.395868260E-1,1.163909326E0,1.999213902E0,2.428688909E0
1.773074167E0,-6.055449620E-1,1.247960419E0,2.215915807E0,2.614263333E0
1.783081167E0,-4.864664152E-1,1.649403057E0,2.243062091E0,2.826394799E0
1.793087167E0,-9.687272206E-2,2.002038400E0,2.287489235E0,3.041405774E0
1.803094167E0,3.913344093E-1,1.991664855E0,1.894673288E0,2.776627159E0
1.813101167E0,6.054280177E-1,2.030572520E0,1.437868336E0,2.560709510E0
1.823108167E0,7.320678914E-1,2.205790184E0,1.375605429E0,2.700689547E0
