"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.739775417E-1,-1.722767487E0,4.432732086E0,8.707841949E0,9.921872453E0
8.840195417E-1,-1.976040802E0,4.709955597E0,8.617280273E0,1.001728198E1
8.940615417E-1,-2.177671509E0,4.899611206E0,8.551566925E0,1.009345035E1
9.041025417E-1,-2.239642639E0,5.060227203E0,8.409212952E0,1.006661616E1
9.141445417E-1,-2.060764618E0,5.078339539E0,8.398285675E0,1.002833414E1
9.241855417E-1,-1.685345306E0,4.845573578E0,8.526568909E0,9.950997410E0
9.342275417E-1,-1.301393738E0,4.499942322E0,8.624615021E0,9.814636561E0
9.442685417E-1,-1.059796143E0,4.237537994E0,8.857231293E0,9.875750214E0
9.543105417E-1,-1.000220032E0,4.098477173E0,9.097332001E0,1.002793123E1
9.643525417E-1,-1.140628052E0,4.009861450E0,9.257049866E0,1.015248706E1
9.743935417E-1,-1.342109070E0,3.992796936E0,9.388476563E0,1.029014948E1
9.844355417E-1,-1.495839386E0,3.930077362E0,9.413624268E0,1.031015836E1
9.944765417E-1,-1.503922577E0,3.794309692E0,9.383836212E0,1.023303236E1
1.004518542E0,-1.331331482E0,3.613785095E0,9.368118896E0,1.012884682E1
1.014559542E0,-1.026265869E0,3.406017151E0,9.360784149E0,1.001391304E1
1.024601542E0,-8.481362915E-1,3.165617065E0,9.373807068E0,9.930192622E0
1.034643542E0,-8.779243469E-1,3.026256866E0,9.313781891E0,9.832370767E0
1.044684542E0,-1.080752563E0,3.080144806E0,9.077872467E0,9.646921097E0
1.054726542E0,-1.293609924E0,3.181933136E0,8.854087830E0,9.496999337E0
1.064767542E0,-1.430575104E0,3.203039246E0,8.656498718E0,9.340287768E0
1.074809542E0,-1.567689972E0,3.197351074E0,8.446485443E0,9.166450899E0
1.084851542E0,-1.687141571E0,3.200793915E0,8.278385010E0,9.034555149E0
1.094892542E0,-1.720222778E0,3.217708740E0,8.153694305E0,8.932835315E0
1.104934542E0,-1.669777679E0,3.213966522E0,8.067024536E0,8.842772369E0
1.114975542E0,-1.558109894E0,3.147654419E0,8.115224304E0,8.842641025E0
1.125017542E0,-1.510508881E0,3.058439941E0,8.191415863E0,8.873273680E0
1.135059542E0,-1.472787323E0,3.002456360E0,8.255931702E0,8.907539220E0
1.145100542E0,-1.439706116E0,2.959495697E0,8.393795013E0,9.015939397E0
1.155142542E0,-1.495240631E0,2.949017487E0,8.535550232E0,9.153582165E0
1.165183542E0,-1.513203278E0,2.926414490E0,8.660240936E0,9.265714166E0
1.175225542E0,-1.487905884E0,2.864293671E0,8.809031525E0,9.381741765E0
